03/07 00:00:02.058779 00000337 WEB INFO  QID:0x1000000009e3400 finish request, status_code:200, latency:8.4982ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/07 00:00:02.731137 00000337 WEB INFO  QID:0x200000000008ce00 finish request, status_code:200, latency:16.0354ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/07 00:00:10.742954 00000337 WEB INFO  QID:0x1000000009e4000 finish request, status_code:200, latency:9.5201ms, client_ip:127.0.0.1, method:POST, uri:/taosd-cluster-basic
03/07 00:00:10.744659 00000337 WEB INFO  QID:0x1000000009e3f00 finish request, status_code:200, latency:11.1166ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/07 00:00:17.731878 00000337 WEB INFO  QID:0x200000000008cf00 finish request, status_code:200, latency:17.312ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/07 00:00:32.734612 00000337 WEB INFO  QID:0x200000000008d000 finish request, status_code:200, latency:20.811ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/07 00:00:33.057378 00000337 WEB INFO  QID:0x1000000009e5900 finish request, status_code:200, latency:7.6555ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/07 00:00:40.774181 00000337 WEB INFO  QID:0x1000000009e6400 finish request, status_code:200, latency:8.8079ms, client_ip:127.0.0.1, method:POST, uri:/taosd-cluster-basic
03/07 00:00:40.776697 00000337 WEB INFO  QID:0x1000000009e6300 finish request, status_code:200, latency:11.185ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/07 00:00:47.732806 00000337 WEB INFO  QID:0x200000000008d100 finish request, status_code:200, latency:18.8416ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/07 00:01:02.726623 00000337 WEB INFO  QID:0x200000000008d200 finish request, status_code:200, latency:12.904ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/07 00:01:04.059074 00000337 WEB INFO  QID:0x1000000009e7e00 finish request, status_code:200, latency:8.943ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/07 00:01:10.794472 00000337 WEB INFO  QID:0x1000000009e8800 finish request, status_code:200, latency:1.9238ms, client_ip:127.0.0.1, method:POST, uri:/taosd-cluster-basic
03/07 00:01:10.794977 00000337 WEB INFO  QID:0x1000000009e8700 finish request, status_code:200, latency:2.426ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/07 00:01:17.732349 00000337 WEB INFO  QID:0x200000000008d300 finish request, status_code:200, latency:17.9893ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/07 00:01:32.722922 00000337 WEB INFO  QID:0x200000000008d400 finish request, status_code:200, latency:9.4729ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/07 00:01:35.058827 00000337 WEB INFO  QID:0x1000000009ea300 finish request, status_code:200, latency:8.5439ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/07 00:01:40.834088 00000337 WEB INFO  QID:0x1000000009eac00 finish request, status_code:200, latency:8.3517ms, client_ip:127.0.0.1, method:POST, uri:/taosd-cluster-basic
03/07 00:01:40.836381 00000337 WEB INFO  QID:0x1000000009eab00 finish request, status_code:200, latency:10.5771ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/07 00:01:47.731721 00000337 WEB INFO  QID:0x200000000008d500 finish request, status_code:200, latency:18.179ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/07 00:02:02.734400 00000337 WEB INFO  QID:0x200000000008d600 finish request, status_code:200, latency:20.3065ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/07 00:02:06.059724 00000337 WEB INFO  QID:0x1000000009ec800 finish request, status_code:200, latency:10.1685ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/07 00:02:10.861106 00000337 WEB INFO  QID:0x1000000009ed000 finish request, status_code:200, latency:5.5517ms, client_ip:127.0.0.1, method:POST, uri:/taosd-cluster-basic
