==================================================
                new log file
==================================================
config:&{InstanceID:64 Cors:{AllowAllOrigins:false AllowOrigins:[] AllowHeaders:[Authorization AccessKey X-AccessKey UserToken X-Language X-WebAppID X-App X-Action] ExposeHeaders:[] AllowCredentials:true AllowWebSockets:true} Host: Port:6043 LogLevel:info GoPoolSize:50000 RotationInterval:15s TDengine:{Host:localhost Port:6041 Username:root Password:taosdata Usessl:false} Metrics:{Cluster: Prefix:taos Database:{Name:log Options:map[buffer:64 cachemodel:both keep:90 vgroups:1]} Tables:[]} Env:{InCGroup:false} Audit:{Enable:false Database:{Name: Options:map[]}} Log:{Level:info Path:/var/log/taos RotationCount:30 RotationTime:24h0m0s RotationSize:1073741824 KeepDays:30 Compress:false ReservedDiskSize:1073741824} Transfer: FromTime:2020-01-01T00:00:00+08:00 Drop:}
version                                      3.3.6.13
gitinfo                                      1a3a182ba16ee188c0677fb6cd637b34c52f6bd7
buildinfo                                    Linux-x64 2025-06-28 22:48:07 +0800
03/08 11:44:37.011903 00000228 REP WARN  create database sql: create database if not exists log vgroups 1  buffer 64  cachemodel 'both'  keep 90 
03/08 11:44:37.309441 00000228 REP INFO  execute sql:create table if not exists keeper_monitor (ts timestamp, cpu float, mem float, total_reports int ) tags (identify nchar(50))
03/08 11:44:37.397130 00000228 GEN INFO  gColumnSeqMap:map[taos_slow_sql_detail:{[db user ip cluster_id] [request_id query_time code error_info type rows_num sql process_name process_id]} taosd_cluster_basic:{[cluster_id] [first_ep first_ep_dnode_id cluster_version]}]
03/08 11:44:37.397199 00000228 ADP INFO  QID:0x4000000000000020 create database, sql:create database if not exists log vgroups 1 buffer 64 cachemodel 'both' keep 90 
03/08 11:44:37.403865 00000228 PRG INFO  Running in terminal.
03/08 11:44:45.024500 00000228 WEB INFO  QID:0x2000000000000100 finish request, status_code:200, latency:19.891ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/08 11:45:00.014949 00000228 WEB INFO  QID:0x2000000000000200 finish request, status_code:200, latency:10.096ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/08 11:45:03.083092 00000228 WEB INFO  QID:0x100000000005200 finish request, status_code:200, latency:10.1934ms, client_ip:127.0.0.1, method:POST, uri:/taosd-cluster-basic
03/08 11:45:03.143175 00000228 WEB INFO  QID:0x100000000005100 finish request, status_code:200, latency:70.206ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/08 11:45:07.506584 00000228 WEB INFO  QID:0x100000000006d00 finish request, status_code:200, latency:15.7411ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/08 11:45:15.008205 00000228 WEB INFO  QID:0x2000000000000300 finish request, status_code:200, latency:4.9362ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/08 11:45:30.008416 00000228 WEB INFO  QID:0x2000000000000400 finish request, status_code:200, latency:4.6106ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/08 11:45:33.092492 00000228 WEB INFO  QID:0x100000000008e00 finish request, status_code:200, latency:2.3956ms, client_ip:127.0.0.1, method:POST, uri:/taosd-cluster-basic
03/08 11:45:33.092941 00000228 WEB INFO  QID:0x100000000008d00 finish request, status_code:200, latency:2.8496ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/08 11:45:38.492890 00000228 WEB INFO  QID:0x100000000009600 finish request, status_code:200, latency:2.4707ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/08 11:45:45.020799 00000228 WEB INFO  QID:0x2000000000000500 finish request, status_code:200, latency:15.6967ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/08 11:46:00.011926 00000228 WEB INFO  QID:0x2000000000000600 finish request, status_code:200, latency:7.042ms, client_ip:127.0.0.1, method:POST, uri:/adapter_report
03/08 11:46:03.111567 00000228 WEB INFO  QID:0x10000000000b200 finish request, status_code:200, latency:2.6539ms, client_ip:127.0.0.1, method:POST, uri:/taosd-cluster-basic
03/08 11:46:03.112248 00000228 WEB INFO  QID:0x10000000000b100 finish request, status_code:200, latency:3.2851ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
03/08 11:46:09.492968 00000228 WEB INFO  QID:0x10000000000bb00 finish request, status_code:200, latency:2.585ms, client_ip:127.0.0.1, method:POST, uri:/general-metric
